task,step,final_mean,final_std,final_n,cv
cartpole-balance,4000000,998.3333333333334,2.023198787399095,3,0.0020265764147570234
walker-stand,4000000,992.6999999999999,1.0440306508910147,3,0.001051708120168243
finger-spin,4000000,990.5333333333333,0.8962886439832664,3,0.0009048546008715168
reacher-easy,4000000,987.1666666666666,2.074447717666863,3,0.0021014158882325137
cup-catch,4000000,983.7666666666668,3.44286702231346,3,0.0034996784694678205
walker-walk-backwards,4000000,983.5,2.688865931949772,3,0.0027339765449413034
finger-turn-easy,4000000,982.4666666666667,4.76899709932119,3,0.004854105753533138
reacher-hard,4000000,981.8000000000001,5.9304300012730415,3,0.0060403646376787955
reacher-three-easy,4000000,981.5666666666666,4.618802153517023,3,0.004705540958519058
walker-walk,4000000,981.1333333333333,3.234707611722182,3,0.0032969093005254285
dog-stand,14000000,979.8,18.243354954613014,2,0.018619468212505628
finger-turn-hard,4000000,977.1333333333332,2.516611478423585,3,0.002575504685566881
cartpole-balance-sparse,4000000,977.0,39.83716857408418,3,0.040774993422808783
dog-walk,14000000,975.65,1.626345596729027,2,0.001666935475558886
quadruped-walk,4000000,971.0333333333333,1.159022576714251,3,0.0011935971062245556
hopper-stand,4000000,954.8000000000001,3.798683982644527,3,0.003978512759367958
quadruped-run,4000000,953.8333333333334,2.173323108360386,3,0.002278514529121495
dog-trot,14000000,950.6,38.32518754031091,2,0.04031683940701757
walker-run-backwards,4000000,938.9333333333334,2.272296928953911,3,0.002420083352336599
hopper-hop-backwards,4000000,932.2333333333332,40.40499144082735,3,0.04334214407068405
humanoid-stand,14000000,906.1,12.663332894621403,3,0.013975646059619692
humanoid-walk,14000000,900.1999999999999,6.939740629158948,3,0.007709109785779769
cheetah-run,4000000,895.8333333333334,41.29713468672292,3,0.046099127092155814
cartpole-swingup,4000000,877.2333333333332,9.55841688426137,3,0.010896094027732686
walker-run,4000000,877.1999999999999,8.252878285786112,3,0.009408205980148326
dog-run,14000000,870.1,15.556349186104045,2,0.017878806098269216
cartpole-swingup-sparse,4000000,850.4,0.14142135623734164,2,0.0001662998074286708
cup-spin,4000000,847.7666666666668,1.6289055630494207,3,0.0019214078909874028
reacher-three-hard,4000000,846.4333333333334,52.08659456456466,3,0.06153655877355727
cheetah-run-back,4000000,845.7333333333332,13.355273615068063,3,0.015791353005361893
pendulum-spin,4000000,843.3000000000001,29.15270141856495,3,0.03456978704916986
pendulum-swingup,4000000,838.0333333333333,50.882839281366124,3,0.06071696346370406
cheetah-jump,4000000,822.9333333333334,8.488423489278338,3,0.01031483735735378
fish-swim,4000000,760.9666666666667,97.6461639458168,3,0.1283185824335058
cheetah-run-backwards,4000000,753.5666666666666,105.75047675227447,3,0.1403332729936849
cheetah-run-front,4000000,693.8333333333334,11.736410581320586,3,0.016915316715811556
acrobot-swingup,4000000,662.8666666666667,51.10776196756547,3,0.07710111933153797
humanoid-run,14000000,603.4333333333334,61.20002723310934,3,0.10141969933123128
hopper-hop,4000000,449.1666666666667,125.64992372991455,3,0.27974008993672994
