task,mean_reward,std_reward,n_runs,min_reward,max_reward
finger-spin,982.2999877929688,1.697073538196864,2,981.0999755859375,983.5
walker-walk,905.28125,,1,905.28125,905.28125
reacher-easy,581.8325553716616,184.44635221754677,43,167.6999969482422,892.0
finger-turn-hard,533.1999969482422,81.74154822100218,2,475.3999938964844,591.0
finger-turn-easy,437.3000030517578,82.30722501427684,2,379.1000061035156,495.5
walker-run,378.9404766776345,48.06572182064502,88,82.32395935058594,460.8299865722656
cheetah-run,372.0985201116194,65.99269756395087,57,226.96859741210938,536.0075073242188
reacher-hard,309.5375003814697,134.15813513084677,8,86.69999694824219,478.3999938964844
quadruped-walk,85.76100262728605,27.49784470030724,55,32.453250885009766,199.48973083496094
acrobot-swingup,45.79134956852936,47.13118208464084,67,0.03484732285141945,306.5372314453125
